x,Curve1
0.4612,100.201
1.5883,99.806
3.6377,99.614
5.4818,98.624
7.4281,97.236
8.8112,96.444
10.5015,95.453
11.8331,94.262
13.2675,93.67
14.8037,91.882
15.9294,88.898
16.7992,86.51
17.4122,82.727
18.7948,81.138
20.2796,78.952
21.8157,76.965
23.0959,75.575
25.1434,71.597
26.5773,70.009
28.3693,67.425
30.2139,67.431
31.853,66.44
33.2869,64.852
34.6696,63.462
36.6677,63.07
38.7683,62.878
40.3562,61.887
41.6869,58.903
43.4283,57.515
44.9647,56.125
46.9628,55.734
48.3969,54.543
50.4974,54.152
52.3931,53.959
53.6221,52.369
59.7685,48.206
